DataPlus,DualPane,ExternalQuiz,Folder,Forumng,Glossary,Homepage,HtmlActivity,OuCollaborate,Oucontent,OuElluminate,OuWiki,Page,Questionnaire,Quiz,RepeatActivity,Resource,SharedSubpage,SubPage,Url,id1,final_result
0,0,0,0,109,0,39,0,0,27,0,1,3,0,2,0,2,0,22,8,0,Pass
0,0,0,0,20,0,12,0,0,5,0,0,0,0,0,0,2,0,8,7,0,Pass
0,0,0,0,10,0,4,0,0,3,0,0,0,0,0,0,0,0,3,0,0,Pass
0,0,0,0,4,0,8,0,0,54,0,12,0,0,0,0,0,0,5,3,0,Pass
0,0,0,0,4,0,3,0,0,47,0,0,0,0,0,0,0,0,3,0,0,Pass
0,0,0,0,11,0,17,0,0,70,0,0,2,0,0,0,6,0,28,1,0,Pass
0,0,0,0,42,0,29,0,1,97,0,2,0,0,0,0,5,0,23,0,0,Pass
0,0,0,0,17,0,26,0,0,99,0,8,0,3,0,0,0,0,18,3,0,Pass
0,6,0,0,4,0,12,0,0,90,0,0,0,7,0,0,2,0,3,0,0,Pass
0,0,0,0,29,0,37,0,0,122,0,2,0,0,0,0,2,0,29,1,0,Pass
0,0,0,0,15,0,19,0,0,32,0,0,0,0,0,0,0,0,17,0,0,Pass
0,0,0,0,18,0,6,0,0,19,0,0,0,0,0,0,0,0,2,0,0,Pass
0,5,0,0,11,0,25,0,0,128,0,0,0,0,3,0,1,0,23,2,0,Pass
0,0,0,0,12,0,15,0,0,69,0,0,1,0,27,0,2,0,26,1,0,Pass
0,0,0,0,11,0,42,0,0,357,0,0,0,0,0,0,10,0,43,0,0,Pass
0,0,0,0,6,0,29,0,0,217,0,0,0,0,0,0,6,0,35,3,0,Pass
0,0,0,0,10,0,28,0,0,195,0,5,0,0,0,0,0,0,17,0,0,Pass
0,0,0,0,10,0,16,0,0,88,0,8,0,0,0,0,0,0,7,1,0,Pass
0,0,0,0,15,0,19,0,0,90,0,1,1,0,0,0,2,0,8,2,0,Pass
0,0,0,0,39,0,27,0,0,74,0,1,0,9,0,0,0,0,11,1,0,Pass
0,0,0,0,44,0,62,0,0,147,0,0,0,0,234,0,1,0,28,3,0,Pass
5,0,0,0,34,0,35,0,2,145,0,7,1,6,0,0,7,0,24,5,0,Pass
0,0,0,0,2,0,14,0,0,80,0,0,0,0,0,0,1,0,6,4,0,Pass
0,0,0,0,0,0,6,0,0,50,0,0,0,0,12,0,1,0,7,0,0,Pass
0,1,0,0,8,0,18,0,0,135,0,0,4,3,0,0,4,0,15,4,0,Pass
0,0,0,0,6,0,58,0,0,177,0,0,0,0,159,0,0,0,37,0,0,Pass
18,2,0,0,1,0,19,0,0,107,0,0,0,3,99,0,1,0,18,0,0,Pass
18,2,0,0,1,0,19,0,0,107,0,0,0,3,99,0,1,0,18,0,0,Pass
0,2,0,0,15,0,17,0,0,66,0,0,0,3,28,0,3,0,13,0,0,Pass
0,0,0,1,8,0,26,0,0,202,0,0,0,0,89,0,0,0,17,0,0,Pass
0,0,0,0,11,0,24,0,0,159,0,0,0,0,0,0,0,0,10,3,0,Pass
0,0,0,3,6,0,21,0,0,65,0,0,0,0,0,0,4,0,23,0,0,Pass
0,0,0,0,3,0,8,0,0,0,0,9,2,0,0,0,1,0,1,0,0,Pass
0,2,0,1,2,0,23,0,0,153,0,0,0,0,0,0,1,0,10,2,0,Pass
0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pass
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pass
0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pass
0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pass
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Withdrawn
